Date,Close
2018-04-17,122.3
2018-04-18,127.1
2018-04-19,128.88
2018-04-20,128.4
2018-04-23,128.24
2018-04-24,125.73
2018-04-25,125.75
2018-04-26,126.87
2018-04-27,125.85
2018-04-30,128.45
2018-05-01,128.1
2018-05-02,128.92
2018-05-03,126.51
2018-05-04,127.3
2018-05-07,130.24
2018-05-08,134.72
2018-05-09,136.52
2018-05-10,129.79
2018-05-11,123.82
2018-05-14,124.24
2018-05-15,128.53
2018-05-16,132.13
2018-05-17,136.26
2018-05-18,134.58
2018-05-21,136.76
2018-05-22,132.23
2018-05-23,129.64
2018-05-24,124.99
2018-05-25,120.35
2018-05-29,121.0
2018-05-30,122.8
2018-05-31,120.76
2018-06-01,115.5
2018-06-04,111.7
2018-06-05,111.55
2018-06-06,112.22
2018-06-07,114.12
2018-06-08,113.96
2018-06-11,113.83
2018-06-12,118.88
2018-06-13,118.35
2018-06-14,115.95
2018-06-15,115.58
2018-06-18,122.58
2018-06-19,127.58
2018-06-20,129.56
2018-06-21,123.73
2018-06-22,125.56
2018-06-25,121.6
2018-06-26,126.54
2018-06-27,130.13
2018-06-28,130.84
2018-06-29,131.57
2018-07-02,129.3
2018-07-03,130.05
2018-07-05,132.0
2018-07-06,134.97
2018-07-09,136.67
2018-07-10,133.96
2018-07-11,130.76
2018-07-12,130.28
2018-07-13,131.34
2018-07-16,129.99
2018-07-17,130.65
2018-07-18,130.59
2018-07-19,132.09
2018-07-20,131.15
2018-07-23,131.17
2018-07-24,133.45
2018-07-25,134.68
2018-07-26,134.55
2018-07-27,132.34
2018-07-30,133.71
2018-07-31,131.95
2018-08-01,132.88
2018-08-02,134.49
2018-08-03,130.8
2018-08-06,133.62
2018-08-07,134.74
2018-08-08,133.79
2018-08-09,131.15
2018-08-10,134.8
2018-08-13,131.87
2018-08-14,133.75
2018-08-15,117.7
2018-08-16,120.46
2018-08-17,120.18
2018-08-20,120.99
2018-08-21,122.59
2018-08-22,124.23
2018-08-23,121.6
2018-08-24,121.75
2018-08-27,122.73
2018-08-28,121.12
2018-08-29,121.91
2018-08-30,121.52
2018-08-31,121.08
2018-09-04,120.32
2018-09-05,117.46
2018-09-06,114.49
2018-09-07,112.65
2018-09-10,112.11
2018-09-11,116.4
2018-09-12,120.51
2018-09-13,118.81
2018-09-14,121.73
2018-09-17,122.69
2018-09-18,124.75
2018-09-19,128.58
2018-09-20,126.72
2018-09-21,128.55
2018-09-24,132.86
2018-09-25,134.51
2018-09-26,131.33
2018-09-27,134.06
2018-09-28,135.19
2018-10-01,136.8
2018-10-02,137.05
2018-10-03,139.92
2018-10-04,135.25
2018-10-05,136.35
2018-10-08,132.88
2018-10-09,135.13
2018-10-10,129.28
2018-10-11,124.63
2018-10-12,126.12
2018-10-15,127.93
2018-10-16,130.82
2018-10-17,129.51
2018-10-18,126.96
2018-10-19,127.1
2018-10-22,124.56
2018-10-23,119.11
2018-10-24,112.9
2018-10-25,114.24
2018-10-26,113.76
2018-10-29,108.17
2018-10-30,109.88
2018-10-31,112.36
2018-11-01,115.45
2018-11-02,114.32
2018-11-05,115.99
2018-11-06,113.37
2018-11-07,115.87
2018-11-08,110.65
2018-11-09,113.85
2018-11-12,110.23
2018-11-13,107.85
2018-11-14,108.71
2018-11-15,112.24
2018-11-16,114.31
2018-11-19,113.81
2018-11-20,108.73
2018-11-21,109.23
2018-11-23,104.88
2018-11-26,109.31
2018-11-27,109.84
2018-11-28,109.8
2018-11-29,112.0
2018-11-30,110.38
2018-12-03,112.17
2018-12-04,105.08
2018-12-06,101.82
2018-12-07,102.7
2018-12-10,100.63
2018-12-11,100.04
2018-12-12,98.49
2018-12-13,96.32
2018-12-14,92.71
2018-12-17,88.54
2018-12-18,87.93
2018-12-19,90.6
2018-12-20,89.03
2018-12-21,88.77
2018-12-24,85.67
2018-12-26,91.99
2018-12-27,92.88
2018-12-28,91.89
2018-12-31,92.7
2019-01-02,95.22
2019-01-03,96.16
2019-01-04,99.93
2019-01-07,102.63
2019-01-08,104.95
2019-01-09,106.79
2019-01-10,106.13
2019-01-11,104.1
2019-01-14,104.51
2019-01-15,105.01
2019-01-16,105.64
2019-01-17,105.65
2019-01-18,106.89
2019-01-22,101.46
2019-01-23,101.33
2019-01-24,101.56
2019-01-25,102.21
2019-01-28,100.3
2019-01-29,100.16
2019-01-30,102.26
2019-01-31,103.12
2019-02-01,102.89
2019-02-04,104.55
2019-02-05,101.88
2019-02-06,101.65
2019-02-07,97.96
2019-02-08,96.6
2019-02-11,97.86
2019-02-12,98.68
2019-02-13,101.02
2019-02-14,103.83
2019-02-15,105.5
2019-02-19,104.8
2019-02-20,106.45
2019-02-21,102.14
2019-02-22,104.03
2019-02-25,105.29
2019-02-26,105.51
2019-02-27,105.49
2019-02-28,102.93
2019-03-01,104.79
2019-03-04,104.67
2019-03-05,102.62
2019-03-06,100.05
2019-03-07,97.76
2019-03-08,95.5
2019-03-11,97.58
2019-03-12,100.5
2019-03-13,103.42
2019-03-14,104.21
2019-03-15,102.39
2019-03-18,104.54
2019-03-19,103.18
2019-03-20,105.18
2019-03-21,105.91
2019-03-22,101.37
2019-03-25,100.98
2019-03-26,102.61
2019-03-27,102.35
2019-03-28,102.54
2019-03-29,101.53
2019-04-01,103.69
2019-04-02,102.49
2019-04-03,99.96
2019-04-04,99.84
2019-04-05,102.45
2019-04-08,104.35
2019-04-09,102.84
2019-04-10,103.87
2019-04-11,99.92
2019-04-12,106.28
2019-04-15,105.96
2019-04-16,106.87
2019-04-17,108.24
2019-04-18,107.28
2019-04-22,111.2
2019-04-23,111.81
2019-04-24,111.04
2019-04-25,109.61
2019-04-26,107.21
2019-04-29,106.9
2019-04-30,106.39
2019-05-01,101.37
2019-05-02,99.12
2019-05-03,100.47
2019-05-06,100.7
2019-05-07,98.23
2019-05-08,105.85
2019-05-09,108.24
2019-05-10,107.89
2019-05-13,107.2
2019-05-14,109.11
2019-05-15,109.06
2019-05-16,110.63
2019-05-17,111.02
2019-05-20,109.66
2019-05-21,113.8
2019-05-22,108.88
2019-05-23,104.03
2019-05-24,104.11
2019-05-28,103.52
2019-05-29,101.31
2019-05-30,100.35
2019-05-31,98.06
2019-06-03,98.17
2019-06-04,99.13
2019-06-05,96.12
2019-06-06,97.58
2019-06-07,97.02
2019-06-10,97.6
2019-06-11,99.76
2019-06-12,98.21
2019-06-13,100.17
2019-06-14,98.95
2019-06-17,101.58
2019-06-18,104.54
2019-06-19,104.12
2019-06-20,107.59
2019-06-21,109.79
2019-06-24,107.64
2019-06-25,105.22
2019-06-26,107.23
2019-06-27,107.49
2019-06-28,108.97
2019-07-01,109.35
2019-07-02,104.17
2019-07-03,105.2
2019-07-05,107.41
2019-07-08,106.96
2019-07-09,106.97
2019-07-10,109.68
2019-07-11,109.32
2019-07-12,110.83
2019-07-15,106.41
2019-07-16,104.11
2019-07-17,101.79
2019-07-18,103.58
2019-07-19,104.61
2019-07-22,103.49
2019-07-23,104.44
2019-07-24,104.45
2019-07-25,101.4
2019-07-26,101.99
2019-07-29,99.73
2019-07-30,102.83
2019-07-31,103.43
2019-08-01,97.4
2019-08-02,97.49
2019-08-05,91.45
2019-08-06,91.06
2019-08-07,92.74
2019-08-08,95.2
2019-08-09,96.42
2019-08-12,96.88
2019-08-13,99.94
2019-08-14,96.31
2019-08-15,95.81
2019-08-16,97.26
2019-08-19,99.96
2019-08-20,99.28
2019-08-21,100.1
2019-08-22,99.23
2019-08-23,94.6
2019-08-26,93.5
2019-08-27,92.37
2019-08-28,96.63
2019-08-29,98.58
2019-08-30,98.08
2019-09-03,97.0
2019-09-04,97.82
2019-09-05,97.65
2019-09-06,95.6
2019-09-09,96.54
2019-09-10,99.46
2019-09-11,98.72
2019-09-12,96.17
2019-09-13,96.73
2019-09-16,105.04
2019-09-17,100.45
2019-09-18,98.25
2019-09-19,97.33
2019-09-20,96.82
2019-09-23,98.29
2019-09-24,94.49
2019-09-25,93.24
2019-09-26,90.12
2019-09-27,89.99
2019-09-30,89.91
2019-10-01,85.0
2019-10-02,83.12
2019-10-03,85.89
2019-10-04,85.42
2019-10-07,83.37
2019-10-08,80.82
2019-10-09,81.55
2019-10-10,82.54
2019-10-11,83.64
2019-10-14,83.96
2019-10-15,84.84
2019-10-16,83.43
2019-10-17,84.04
2019-10-18,81.97
2019-10-21,82.74
2019-10-22,85.69
2019-10-23,87.16
2019-10-24,86.91
2019-10-25,87.46
2019-10-28,86.6
2019-10-29,87.92
2019-10-30,84.38
2019-10-31,85.76
2019-11-01,86.79
2019-11-04,90.36
2019-11-05,90.23
2019-11-06,77.2
2019-11-07,75.56
2019-11-08,75.43
2019-11-11,76.78
2019-11-12,78.01
2019-11-13,77.01
2019-11-14,76.29
2019-11-15,77.09
2019-11-18,75.73
2019-11-19,74.19
2019-11-20,75.29
2019-11-21,75.57
2019-11-22,75.33
2019-11-25,77.13
2019-11-26,77.1
2019-11-27,78.52
2019-11-29,77.34
2019-12-02,77.88
2019-12-03,76.91
2019-12-04,80.56
2019-12-05,79.94
2019-12-06,83.23
2019-12-09,83.78
2019-12-10,83.46
2019-12-11,83.83
2019-12-12,86.27
2019-12-13,85.09
2019-12-16,87.69
2019-12-17,86.61
2019-12-18,87.08
2019-12-19,87.48
2019-12-20,88.02
2019-12-23,89.03
2019-12-24,90.18
2019-12-26,91.31
2019-12-27,90.77
2019-12-30,91.07
2019-12-31,92.86
2020-01-02,92.65
2020-01-03,94.41
2020-01-06,94.9
2020-01-07,96.42
2020-01-08,93.33
2020-01-09,94.15
2020-01-10,92.26
2020-01-13,90.48
2020-01-14,91.26
2020-01-15,91.31
2020-01-16,90.74
2020-01-17,89.54
2020-01-21,88.32
2020-01-22,85.49
2020-01-23,84.7
2020-01-24,82.84
2020-01-27,79.37
2020-01-28,79.12
2020-01-29,77.57
2020-01-30,76.49
2020-01-31,74.4
2020-02-03,73.08
2020-02-04,73.22
2020-02-05,77.4
2020-02-06,76.23
2020-02-07,74.24
2020-02-10,72.0
2020-02-11,72.51
2020-02-12,74.35
2020-02-13,74.54
2020-02-14,74.97
2020-02-18,74.56
2020-02-19,79.29
2020-02-20,78.48
2020-02-21,76.4
2020-02-24,71.08
2020-02-25,67.16
2020-02-26,63.14
2020-02-27,59.48
2020-02-28,62.0
2020-03-02,62.14
2020-03-03,61.76
2020-03-04,61.07
2020-03-05,58.21
2020-03-06,48.56
2020-03-09,26.88
2020-03-10,29.68
2020-03-11,26.2
2020-03-12,25.62
2020-03-13,27.19
2020-03-16,23.49
2020-03-17,20.23
2020-03-18,15.56
2020-03-19,18.69
2020-03-20,18.59
2020-03-23,20.37
2020-03-24,24.12
2020-03-25,24.17
2020-03-26,25.95
2020-03-27,23.87
2020-03-30,23.59
2020-03-31,26.2
2020-04-01,25.07
2020-04-02,29.05
2020-04-03,31.59
2020-04-06,32.1
2020-04-07,33.01
2020-04-08,37.48
2020-04-09,34.86
2020-04-13,33.08
2020-04-14,31.65
2020-04-15,30.23
2020-04-16,28.03
2020-04-17,31.52
2020-04-20,30.86
2020-04-21,31.4
2020-04-22,34.24
2020-04-23,37.1
2020-04-24,35.78
2020-04-27,36.22
2020-04-28,38.0
2020-04-29,44.19
2020-04-30,43.54
2020-05-01,40.28
2020-05-04,42.52
2020-05-05,40.33
2020-05-06,38.92
2020-05-07,40.37
2020-05-08,42.08
2020-05-11,41.02
2020-05-12,40.87
2020-05-13,37.79
2020-05-14,38.18
2020-05-15,38.78
2020-05-18,43.44
2020-05-19,41.84
2020-05-20,43.66
2020-05-21,42.89
2020-05-22,42.94
2020-05-26,44.9
2020-05-27,44.3
2020-05-28,43.02
2020-05-29,42.58
2020-06-01,43.73
2020-06-02,45.61
2020-06-03,47.58
2020-06-04,47.68
2020-06-05,52.21
2020-06-08,59.82
2020-06-09,53.92
2020-06-10,50.17
2020-06-11,44.36
2020-06-12,46.96
2020-06-15,48.12
2020-06-16,49.97
2020-06-17,46.55
2020-06-18,46.59
2020-06-19,46.73
2020-06-22,46.09
2020-06-23,46.31
2020-06-24,41.9
2020-06-25,43.62
2020-06-26,41.13
2020-06-29,41.43
2020-06-30,41.82
2020-07-01,39.6
2020-07-02,41.56
2020-07-06,42.88
2020-07-07,40.12
2020-07-08,40.23
2020-07-09,37.5
2020-07-10,38.93
2020-07-13,37.1
2020-07-14,39.28
2020-07-15,39.9
2020-07-16,39.51
2020-07-17,39.02
2020-07-20,38.58
2020-07-21,42.11
2020-07-22,41.7
2020-07-23,41.07
2020-07-24,40.73
2020-07-27,40.05
2020-07-28,38.88
2020-07-29,40.76
2020-07-30,39.51
2020-07-31,39.86
2020-08-03,40.01
2020-08-04,41.07
2020-08-05,41.63
2020-08-06,40.73
2020-08-07,42.01
2020-08-10,44.67
2020-08-11,44.45
2020-08-12,44.57
2020-08-13,44.58
2020-08-14,45.51
2020-08-17,45.08
2020-08-18,44.49
2020-08-19,43.3
2020-08-20,40.63
2020-08-21,39.21
2020-08-24,40.05
2020-08-25,41.06
2020-08-26,39.39
2020-08-27,39.77
2020-08-28,40.14
2020-08-31,38.96
2020-09-01,38.48
2020-09-02,36.32
2020-09-03,35.77
2020-09-04,35.53
2020-09-08,31.99
2020-09-09,32.19
2020-09-10,30.08
2020-09-11,29.62
2020-09-14,31.06
2020-09-15,30.5
2020-09-16,32.91
2020-09-17,33.79
2020-09-18,33.77
2020-09-21,32.08
2020-09-22,31.61
2020-09-23,29.9
2020-09-24,29.99
2020-09-25,29.9
2020-09-28,31.49
2020-09-29,31.2
2020-09-30,30.12
2020-10-01,29.09
2020-10-02,30.47
2020-10-05,30.87
2020-10-06,29.21
2020-10-07,29.47
2020-10-08,31.12
2020-10-09,30.69
2020-10-12,31.2
2020-10-13,30.41
2020-10-14,30.49
2020-10-15,30.63
2020-10-16,29.29
2020-10-19,28.04
2020-10-20,28.45
2020-10-21,27.71
2020-10-22,29.17
2020-10-23,29.03
2020-10-26,27.53
2020-10-27,26.57
2020-10-28,24.6
2020-10-29,25.54
2020-10-30,25.96
2020-11-02,27.71
2020-11-03,28.12
2020-11-04,27.12
2020-11-05,26.2
2020-11-06,24.74
2020-11-09,32.4
2020-11-10,33.73
2020-11-11,32.85
2020-11-12,31.66
2020-11-13,33.6
2020-11-16,35.93
2020-11-17,37.31
2020-11-18,37.74
2020-11-19,39.44
2020-11-20,39.84
2020-11-23,44.49
2020-11-24,47.14
2020-11-25,45.39
2020-11-27,43.52
2020-11-30,39.96
2020-12-01,39.85
2020-12-02,40.52
2020-12-03,41.91
2020-12-04,47.22
2020-12-07,45.64
2020-12-08,46.14
2020-12-09,47.33
2020-12-10,49.94
2020-12-11,50.11
2020-12-14,46.95
2020-12-15,48.16
2020-12-16,47.65
2020-12-17,47.39
2020-12-18,45.84
2020-12-21,45.02
2020-12-22,44.05
2020-12-23,47.8
2020-12-24,48.25
2020-12-28,47.63
2020-12-29,47.0
2020-12-30,49.27
2020-12-31,48.4
2021-01-04,48.94
2021-01-05,53.67
2021-01-06,56.32
2021-01-07,56.79
2021-01-08,56.76
2021-01-11,58.3
2021-01-12,62.87
2021-01-13,61.54
2021-01-14,61.93
2021-01-15,59.24
2021-01-19,60.02
2021-01-20,60.62
2021-01-21,60.78
2021-01-22,63.74
2021-01-25,61.33
2021-01-26,59.61
2021-01-27,56.59
2021-01-28,60.31
2021-01-29,56.69
2021-02-01,57.98
2021-02-02,58.42
2021-02-03,63.58
2021-02-04,65.35
2021-02-05,64.45
2021-02-08,68.93
2021-02-09,66.97
2021-02-10,68.88
2021-02-11,67.77
2021-02-12,69.12
2021-02-16,68.97
2021-02-17,68.84
2021-02-18,65.14
2021-02-19,65.57
2021-02-22,68.4
2021-02-23,71.01
2021-02-24,73.8
2021-02-25,69.06
2021-02-26,69.28
2021-03-01,73.66
2021-03-02,71.01
2021-03-03,74.44
2021-03-04,81.26
2021-03-05,85.27
2021-03-08,84.17
2021-03-09,81.03
2021-03-10,80.94
2021-03-11,84.04
2021-03-12,82.01
2021-03-15,84.29
2021-03-16,82.09
2021-03-17,81.41
2021-03-18,75.17
2021-03-19,75.81
2021-03-22,75.31
2021-03-23,72.13
2021-03-24,74.39
2021-03-25,73.8
2021-03-26,75.79
2021-03-29,74.24
2021-03-30,74.48
2021-03-31,73.49
2021-04-01,81.22
2021-04-05,75.4
2021-04-06,75.46
2021-04-07,76.31
2021-04-08,75.2
2021-04-09,74.8
2021-04-12,73.88
2021-04-13,75.76
2021-04-14,80.34
2021-04-15,79.08
2021-04-16,77.54
2021-04-19,77.67
2021-04-20,74.27
2021-04-21,75.26
2021-04-22,75.28
2021-04-23,76.13
2021-04-26,77.46
2021-04-27,79.32
2021-04-28,83.68
2021-04-29,84.34
2021-04-30,81.73
2021-05-03,83.92
2021-05-04,79.2
2021-05-05,83.12
2021-05-06,82.25
2021-05-07,84.21
2021-05-10,82.76
2021-05-11,79.8
2021-05-12,79.48
2021-05-13,76.2
2021-05-14,78.7
2021-05-17,80.36
2021-05-18,80.0
2021-05-19,77.92
2021-05-20,76.53
2021-05-21,76.31
2021-05-24,77.3
2021-05-25,75.48
2021-05-26,78.29
2021-05-27,79.34
2021-05-28,80.07
2021-06-01,86.61
2021-06-02,86.44
2021-06-03,86.52
2021-06-04,85.82
2021-06-07,87.19
2021-06-08,89.64
2021-06-09,88.28
2021-06-10,86.99
2021-06-11,87.27
2021-06-14,86.44
2021-06-15,90.85
2021-06-16,90.37
2021-06-17,86.89
2021-06-18,86.18
2021-06-21,91.5
2021-06-22,91.33
2021-06-23,91.91
2021-06-24,94.25
2021-06-25,96.31
2021-06-28,92.47
2021-06-29,92.62
2021-06-30,93.89
2021-07-01,99.6
2021-07-02,98.06
2021-07-06,91.17
2021-07-07,87.99
2021-07-08,88.19
2021-07-09,89.42
2021-07-12,89.83
2021-07-13,90.04
2021-07-14,84.58
2021-07-15,81.74
2021-07-16,78.36
2021-07-19,73.19
2021-07-20,74.92
2021-07-21,79.34
2021-07-22,78.67
2021-07-23,78.24
2021-07-26,80.25
2021-07-27,78.55
2021-07-28,79.58
2021-07-29,79.54
2021-07-30,77.13
2021-08-02,76.75
2021-08-03,80.53
2021-08-04,76.42
2021-08-05,79.83
2021-08-06,80.05
2021-08-09,77.23
2021-08-10,78.12
2021-08-11,79.01
2021-08-12,79.37
2021-08-13,75.64
2021-08-16,72.54
2021-08-17,71.88
2021-08-18,69.81
2021-08-19,67.88
2021-08-20,68.18
2021-08-23,72.2
2021-08-24,74.2
2021-08-25,75.01
2021-08-26,73.08
2021-08-27,76.65
2021-08-30,76.28
2021-08-31,77.14
2021-09-01,74.16
2021-09-02,76.57
2021-09-03,75.56
2021-09-07,74.93
2021-09-08,74.7
2021-09-09,75.66
2021-09-10,75.04
2021-09-13,77.8
2021-09-14,75.68
2021-09-15,81.58
2021-09-16,80.07
2021-09-17,82.62
2021-09-20,79.11
2021-09-21,80.04
2021-09-22,84.38
2021-09-23,87.86
2021-09-24,88.72
2021-09-27,95.48
2021-09-28,94.98
2021-09-29,96.05
2021-09-30,94.67
2021-10-01,98.86
2021-10-04,103.38
2021-10-05,104.16
2021-10-06,104.11
2021-10-07,105.12
2021-10-08,109.9
2021-10-11,110.73
2021-10-12,110.0
2021-10-13,108.19
2021-10-14,108.83
2021-10-15,108.28
2021-10-18,109.26
2021-10-19,110.94
2021-10-20,111.15
2021-10-21,108.93
2021-10-22,109.33
2021-10-25,109.41
2021-10-26,111.69
2021-10-27,107.58
2021-10-28,109.01
2021-10-29,107.19
2021-11-01,111.61
2021-11-02,114.45
2021-11-03,111.81
2021-11-04,112.76
2021-11-05,113.79
2021-11-08,115.71
2021-11-09,112.99
2021-11-10,107.16
2021-11-11,108.77
2021-11-12,109.95
2021-11-15,111.17
2021-11-16,110.18
2021-11-17,107.24
2021-11-18,107.96
2021-11-19,102.17
2021-11-22,105.47
2021-11-23,110.19
2021-11-24,114.2
2021-11-26,107.48
2021-11-29,109.93
2021-11-30,106.73
2021-12-01,103.0
2021-12-02,106.43
2021-12-03,106.0
2021-12-06,108.23
2021-12-07,115.59
2021-12-08,113.63
2021-12-09,110.33
2021-12-10,111.18
2021-12-13,106.61
2021-12-14,104.07
2021-12-15,103.75
2021-12-16,105.3
2021-12-17,102.43
2021-12-20,99.12
2021-12-21,104.9
2021-12-22,105.69
2021-12-23,105.94
2021-12-27,111.14
2021-12-28,110.16
2021-12-29,108.71
2021-12-30,107.31
2021-12-31,107.85
